UKPRN	UK learning provider name	Website	Status	CO2 emissions (g)	Website carbon link	Date last checked
10007807	University of Ulster	https://www.ulster.ac.uk/		0.45		2023-12-07
10008574	University of Wales Prifysgol Cymru	https://www.wales.ac.uk/cy/Hafan.aspx		0.22		2023-12-07
10007858	University of Wales: Trinity Saint David	https://www.uwtsd.ac.uk/		0.99		2023-12-07
10007163	University of Warwick	https://www.warwick.ac.uk/		0.54		2023-12-07
10003614	University of Winchester	https://www.winchester.ac.uk/		2.01		2023-12-07
10007166	University of Wolverhampton	https://www.wlv.ac.uk/		0.36		2023-12-07
10007139	University of Worcester	https://www.worc.ac.uk/		1.25		2023-12-07
10007167	University of York	https://www.york.ac.uk/		0.47		2023-12-07
10007162	University of the Arts, London	https://www.arts.ac.uk/		3.03		2023-12-07
10007114	University of the Highlands and Islands	https://www.uhi.ac.uk/		1.02		2023-12-07
10007164	University of the West of England, Bristol	https://www.uwe.ac.uk/		0.54		2023-12-07
10007800	University of the West of Scotland	https://www.uws.ac.uk/		1.68		2023-12-07
10007657	Writtle College	https://www.writtle.ac.uk/		2.19		2023-12-07
10007713	York St John University	https://www.yorksj.ac.uk/		0.58		2023-12-07
